#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/    red_fsiXsec_theory[f,3]/
35.000000   0.031807   7.033564765306e-07   6.777823596443e-07
35.000000   0.062170   1.762319945585e-07   1.659136696287e-07
35.000000   0.099140   3.768255695413e-08   3.430772761645e-08
35.000000   0.138748   9.435323692492e-09   8.352093911765e-09
35.000000   0.177804   2.939917142702e-09   2.509839243673e-09
35.000000   0.217658   1.038783096224e-09   8.508037292659e-10
35.000000   0.257537   4.159571069395e-10   3.317573039150e-10
35.000000   0.297431   1.864314835493e-10   1.512116355637e-10
35.000000   0.337372   9.257633550400e-11   7.577407310087e-11
35.000000   0.387658   4.422209617219e-11   3.679591019325e-11
35.000000   0.424064   2.751639913362e-11   2.326366613659e-11
35.000000   0.460382   1.788959636948e-11   1.576487453038e-11
35.000000   0.505217   1.099602163603e-11   9.628994779339e-12
35.000000   0.545069   7.298324837147e-12   6.300680896927e-12
35.000000   0.582416   5.001407780137e-12   4.371900161101e-12
35.000000   0.620893   3.404770510988e-12   2.961211415604e-12
35.000000   0.660168   2.302131575562e-12   1.998654318273e-12
35.000000   0.699596   1.551610270231e-12   1.395398405211e-12
35.000000   0.739075   1.041723090867e-12   9.733941562896e-13
35.000000   0.778919   6.932007839735e-13   6.694400035189e-13
35.000000   0.818674   4.590603187593e-13   4.820704468473e-13
35.000000   0.858392   3.020784007594e-13   3.582428208800e-13
35.000000   0.898098   1.976161299376e-13   2.720794520128e-13
35.000000   0.937883   1.283467936046e-13   2.113326169509e-13
35.000000   0.977679   8.289280895655e-14   1.692866282957e-13
35.000000   1.017326   5.339605075251e-14   1.404405705026e-13
35.000000   1.056876   3.437552583383e-14   1.150382942760e-13
35.000000   1.097022   2.195403794753e-14   9.259285846860e-14
35.000000   1.136492   1.421543655587e-14   7.469679235843e-14
35.000000   1.172058   9.652222540449e-15   6.042713741778e-14
