#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/    red_fsiXsec_theory[f,3]/
85.000000   0.030713   7.345287238669e-07   7.101874171735e-07
85.000000   0.061080   1.838016788220e-07   1.738215215591e-07
85.000000   0.098387   3.814169349737e-08   3.273894013806e-08
85.000000   0.137084   9.646014157568e-09   7.582338429535e-09
85.000000   0.176686   2.882830043945e-09   1.938824983997e-09
85.000000   0.216791   9.896306884479e-10   5.971432407443e-10
85.000000   0.257164   3.876310884129e-10   3.321407439847e-10
85.000000   0.297715   1.747981007700e-10   1.722675276902e-10
85.000000   0.337714   9.219794601737e-11   1.461357324875e-10
85.000000   0.377337   5.559157346932e-11   9.478593677282e-11
85.000000   0.415198   3.742345487447e-11   7.292095818977e-11
85.000000   0.452612   2.671100644318e-11   4.547147727847e-11
85.000000   0.489415   1.975639228987e-11   3.282989406029e-11
